ONT_Id,B_Max_bits,B_alloc_bits
3,1199488.0,1216
4,1199488.0,12832
5,1199488.0,10016
6,1199488.0,11488
7,1199488.0,1568
8,1199488.0,12832
9,1199488.0,12832
10,1199488.0,1568
11,1199488.0,19200
12,1199488.0,13776
13,1199488.0,12832
14,1199488.0,12832
15,1199488.0,14128
0,1199488.0,14128
1,1199488.0,13184
2,1199488.0,40864
3,1199488.0,25984
4,1199488.0,13184
5,1199488.0,10016
6,1199488.0,28656
7,1199488.0,14128
8,1199488.0,13184
9,1199488.0,13184
10,1199488.0,14128
11,1199488.0,19552
12,1199488.0,13424
13,1199488.0,13184
14,1199488.0,13184
15,1199488.0,1216
0,1199488.0,1216
1,1199488.0,12832
2,1199488.0,6528
3,1199488.0,1568
4,1199488.0,13184
5,1199488.0,10368
6,1199488.0,11488
7,1199488.0,1568
8,1199488.0,12832
9,1199488.0,12832
10,1199488.0,13776
11,1199488.0,19552
12,1199488.0,14128
13,1199488.0,13184
14,1199488.0,13184
15,1199488.0,13776
0,1199488.0,13776
1,1199488.0,13184
2,1199488.0,40864
3,1199488.0,25984
4,1199488.0,12832
5,1199488.0,10368
6,1199488.0,28656
7,1199488.0,14128
8,1199488.0,13184
9,1199488.0,13184
10,1199488.0,13424
11,1199488.0,18480
12,1199488.0,1216
13,1199488.0,12832
14,1199488.0,12832
15,1199488.0,1216
0,1199488.0,1216
1,1199488.0,12832
2,1199488.0,11488
3,1199488.0,1568
4,1199488.0,13184
5,1199488.0,10720
6,1199488.0,11488
7,1199488.0,1920
8,1199488.0,13184
9,1199488.0,13184
10,1199488.0,14128
11,1199488.0,19552
12,1199488.0,13776
13,1199488.0,13184
14,1199488.0,13184
15,1199488.0,13776
0,1199488.0,13776
1,1199488.0,13184
2,1199488.0,40864
3,1199488.0,26336
4,1199488.0,13184
5,1199488.0,11072
6,1199488.0,29008
7,1199488.0,14128
8,1199488.0,12832
9,1199488.0,12832
10,1199488.0,13072
11,1199488.0,19200
12,1199488.0,13072
13,1199488.0,12832
14,1199488.0,12832
15,1199488.0,13424
0,1199488.0,13424
1,1199488.0,13184
2,1199488.0,23344
3,1199488.0,1216
4,1199488.0,12832
5,1199488.0,11072
6,1199488.0,11136
7,1199488.0,13776
8,1199488.0,13184
9,1199488.0,13184
10,1199488.0,13776
11,1199488.0,18480
12,1199488.0,13776
13,1199488.0,13184
14,1199488.0,13184
15,1199488.0,13776
0,1199488.0,13776
1,1199488.0,12832
2,1199488.0,41216
3,1199488.0,25984
4,1199488.0,13184
5,1199488.0,11424
6,1199488.0,28656
7,1199488.0,13072
8,1199488.0,12832
9,1199488.0,12832
10,1199488.0,13072
11,1199488.0,19552
12,1199488.0,13424
13,1199488.0,13184
14,1199488.0,13184
15,1199488.0,13424
0,1199488.0,13424
1,1199488.0,13184
2,1199488.0,11136
3,1199488.0,1216
4,1199488.0,12832
5,1199488.0,11424
6,1199488.0,11488
7,1199488.0,13776
8,1199488.0,13184
9,1199488.0,13184
10,1199488.0,13776
11,1199488.0,19200
12,1199488.0,13776
13,1199488.0,12832
14,1199488.0,12832
15,1199488.0,13776
0,1199488.0,13776
1,1199488.0,12832
2,1199488.0,36256
3,1199488.0,25984
4,1199488.0,13184
5,1199488.0,11776
6,1199488.0,29008
7,1199488.0,13424
8,1199488.0,13184
9,1199488.0,13184
10,1199488.0,13424
11,1199488.0,19552
12,1199488.0,13424
13,1199488.0,13184
14,1199488.0,13184
15,1199488.0,13424
0,1199488.0,13424
1,1199488.0,13184
2,1199488.0,11488
3,1199488.0,1568
4,1199488.0,13184
5,1199488.0,12128
6,1199488.0,11488
7,1199488.0,13776
8,1199488.0,12832
9,1199488.0,12832
10,1199488.0,13776
11,1199488.0,18480
12,1199488.0,13776
13,1199488.0,12832
14,1199488.0,13184
15,1199488.0,14128
0,1199488.0,14128
1,1199488.0,13184
2,1199488.0,40864
3,1199488.0,25984
4,1199488.0,12832
5,1199488.0,12128
6,1199488.0,28656
7,1199488.0,13424
8,1199488.0,13184
9,1199488.0,13184
10,1199488.0,13424
11,1199488.0,19552
12,1199488.0,13424
13,1199488.0,13184
14,1199488.0,12832
15,1199488.0,1216
0,1199488.0,1216
1,1199488.0,12832
2,1199488.0,11488
3,1199488.0,1568
4,1199488.0,13184
5,1199488.0,12480
6,1199488.0,11488
7,1199488.0,13776
8,1199488.0,12832
9,1199488.0,12832
10,1199488.0,14128
11,1199488.0,19552
12,1199488.0,14128
13,1199488.0,13184
14,1199488.0,13184
15,1199488.0,13776
0,1199488.0,13776
1,1199488.0,13184
2,1199488.0,40864
3,1199488.0,25984
4,1199488.0,12832
5,1199488.0,12832
6,1199488.0,33968
7,1199488.0,13424
8,1199488.0,13184
9,1199488.0,13184
10,1199488.0,1216
11,1199488.0,19200
12,1199488.0,1216
13,1199488.0,12832
14,1199488.0,12832
15,1199488.0,1216
0,1199488.0,1216
1,1199488.0,13184
